Model,"Acc (%, mean±95% CI)",Kappa,Entropy (bits),Consistency (%),Wrong 0/5 (n),Clin-Basic (pp)
Gemini 3 Pro Preview,90.30±0.00,0.997,0.004,99.39,16,-2.25
Claude Opus 4.5,85.09±1.65,0.925,0.104,88.48,15,-5.85
Kimi K2 Thinking,81.94±0.98,0.894,0.153,83.03,20,-4.79
MiniMax M2.1,81.82±3.10,0.800,0.304,70.91,12,-5.90
GPT-5.2,81.21±1.19,0.889,0.160,83.03,20,-2.93
DeepSeek V3.2 Thinking,81.09±2.28,0.879,0.177,80.61,21,-7.55
Qwen3 30B A3B Thinking,80.73±1.95,0.833,0.244,73.33,15,+2.33
Qwen3 235B A22B Thinking,77.70±3.30,0.855,0.214,76.36,21,-6.91
Qwen3 Max,76.61±1.47,0.798,0.303,66.67,20,-8.79
GPT OSS 120B,75.39±2.23,0.853,0.213,76.97,30,-10.12
GPT OSS 20B,70.42±1.54,0.739,0.383,61.82,26,-5.95
